,track_uri,artist_uri,genres
129,0UDCfleTgwihlnOUxbzokR,3Nrfpe0tUJi4K4DXYWgMUX,k-pop
129,0UDCfleTgwihlnOUxbzokR,3Nrfpe0tUJi4K4DXYWgMUX,k-pop boy group
129,0UDCfleTgwihlnOUxbzokR,3Nrfpe0tUJi4K4DXYWgMUX,pop
130,339OJQmxYMdKTyRMiWkzuA,0ziR2zN0NFcB4x1G3P8cW3,k-pop
130,339OJQmxYMdKTyRMiWkzuA,0ziR2zN0NFcB4x1G3P8cW3,k-pop boy group
131,2bTDJaOn3kEBse2wCKugBP,4l1q0z9xeJcJw73Gxc6gCB,
132,1Iu7bqGwYVB6OGq4uLt2ak,2dIgFjalVxs4ThymZ67YCE,k-pop
132,1Iu7bqGwYVB6OGq4uLt2ak,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
132,1Iu7bqGwYVB6OGq4uLt2ak,2dIgFjalVxs4ThymZ67YCE,pop
133,0JL7DoEqAUcOntWmBuOSdh,7cVZApDoQZpS447nHTsNqu,k-pop
134,0ziw85g0u0YMFR8BVwarhM,6wwj6pIJdMJJyDQsQVtPzR,social media pop
135,71Ynbzp1UCFHrh8MBMActE,6uFYqDeLIwfURuF1yxVqJU,alt z
136,1fnzWwpiHUxppDQ8EQccvW,4l1q0z9xeJcJw73Gxc6gCB,
137,40SuiVcQ5NyDk48nZSADK3,2auC28zjQyVTsiZKNgPRGs,k-rap
138,38zsOOcu31XbbYj9BIPUF1,3PhoLpVuITZKcymswpck5b,glam rock
138,38zsOOcu31XbbYj9BIPUF1,3PhoLpVuITZKcymswpck5b,mellow gold
138,38zsOOcu31XbbYj9BIPUF1,3PhoLpVuITZKcymswpck5b,piano rock
138,38zsOOcu31XbbYj9BIPUF1,3PhoLpVuITZKcymswpck5b,rock
139,4Fz4DLZtLQIYGx9Ymq0IQj,2FLqlgckDKdmpBrvLAT5BM,k-pop
140,5kFGqKqHzVVMMI7V7uoID1,2dIgFjalVxs4ThymZ67YCE,k-pop
140,5kFGqKqHzVVMMI7V7uoID1,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
140,5kFGqKqHzVVMMI7V7uoID1,2dIgFjalVxs4ThymZ67YCE,pop
141,2m6Ko3CY1qXNNja8AlugNc,3WGpXCj9YhhfX11TToZcXP,australian pop
141,2m6Ko3CY1qXNNja8AlugNc,3WGpXCj9YhhfX11TToZcXP,pop
141,2m6Ko3CY1qXNNja8AlugNc,3WGpXCj9YhhfX11TToZcXP,viral pop
142,1bIhEN6lxZTokWS7Qk5DJP,0ghlgldX5Dd6720Q3qFyQB,k-pop
142,1bIhEN6lxZTokWS7Qk5DJP,0ghlgldX5Dd6720Q3qFyQB,k-pop boy group
143,7ACUsvZmitu4pX7dQk3Ntp,4l1q0z9xeJcJw73Gxc6gCB,
144,4F8Bypjhr4oMTPSNNLjAoS,4SlTBna02QsC02FNFq4ZyO,
145,5aBJSeoYUVNFQ3afZVTxoP,2FLqlgckDKdmpBrvLAT5BM,k-pop
146,6Cnzpz5iL9MhyDbco7YvOX,7nqOGRxlXj7N2JYbgNEjYH,k-pop
146,6Cnzpz5iL9MhyDbco7YvOX,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
147,1kzrpvhuY0ouH5pjnVHVkF,5LHu1iF8m0XtRBEJbbwSoo,k-pop
147,1kzrpvhuY0ouH5pjnVHVkF,5LHu1iF8m0XtRBEJbbwSoo,korean ost
148,79jgzziAIoymcQp3n2GL1M,2jLHrOkh1M5rLJgnrgfQf1,k-indie
149,6KfYVOicblNB8CaDZwbxiT,55qiaow2sDYtjqu1mwRua6,boy band
150,5MYL9WejirHj0kc8crJPJ0,3qNVuliS40BLgXGxhdBdqu,k-pop
151,3CWq0pAKKTWb0K4yiglDc4,06HL4z0CvFAxyc27GXpf02,pop
152,1VG2YcjPA6XQtiJOoCx9zu,29txRD4cY4geQXKUZvmseW,k-pop boy group
153,2FuB4re85DbgICpRi8IEEU,2bp65KnFOIsIosBoqPzvNL,alt z
154,7xmNnlYrcH38FmJSoxextC,17Cit7wNuKM6q67MwLH6gD,gen z singer-songwriter
155,3d3ELsqKlQ7WA0a10Isu3l,5qRSs6mvI17zrkJpOHkCoM,k-pop
155,3d3ELsqKlQ7WA0a10Isu3l,5qRSs6mvI17zrkJpOHkCoM,k-pop boy group
156,43mnNatwMMydJ4CxMdQVnJ,0ghlgldX5Dd6720Q3qFyQB,k-pop
156,43mnNatwMMydJ4CxMdQVnJ,0ghlgldX5Dd6720Q3qFyQB,k-pop boy group
157,277v6ztCVBxeYS6S8EGByp,4l1q0z9xeJcJw73Gxc6gCB,
158,5podb1asONjqwKk1iMVOeG,2dIgFjalVxs4ThymZ67YCE,k-pop
158,5podb1asONjqwKk1iMVOeG,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
158,5podb1asONjqwKk1iMVOeG,2dIgFjalVxs4ThymZ67YCE,pop
159,3O8G8eVrhfXTGttyQ1xVuq,2dIgFjalVxs4ThymZ67YCE,k-pop
159,3O8G8eVrhfXTGttyQ1xVuq,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
159,3O8G8eVrhfXTGttyQ1xVuq,2dIgFjalVxs4ThymZ67YCE,pop
160,1lUNlmwyhsJy6kXmmrO11t,0Vb2DjojEYsasFpc3aTZb6,korean ost
161,783P4OcjGqWZ19UzbwM9pc,2FLqlgckDKdmpBrvLAT5BM,k-pop
162,07x9Jr01lqjlFycZsfKBae,2dIgFjalVxs4ThymZ67YCE,k-pop
162,07x9Jr01lqjlFycZsfKBae,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
162,07x9Jr01lqjlFycZsfKBae,2dIgFjalVxs4ThymZ67YCE,pop
163,1KHdq8NK9QxnGjdXb55NiG,1whjlG0NSaQytgDIWz10GS,acoustic pop
164,11BLMmPoTgKEi4XBDxdpYN,2dIgFjalVxs4ThymZ67YCE,k-pop
164,11BLMmPoTgKEi4XBDxdpYN,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
164,11BLMmPoTgKEi4XBDxdpYN,2dIgFjalVxs4ThymZ67YCE,pop
165,1yYtAYCmyy2DR1yHrkjcbL,6uFYqDeLIwfURuF1yxVqJU,alt z
166,5gXUFmE5AKFiInKyHVVEnL,2dIgFjalVxs4ThymZ67YCE,k-pop
166,5gXUFmE5AKFiInKyHVVEnL,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
166,5gXUFmE5AKFiInKyHVVEnL,2dIgFjalVxs4ThymZ67YCE,pop
167,7fTc6aBevhBfM6vjSQuWHZ,38Gn0ZVC8TQwuaMxBK1yRV,
168,73tqnYbBDehLG2LcMaUT7l,0CmvFWTX9zmMNCUi6fHtAx,k-pop
168,73tqnYbBDehLG2LcMaUT7l,0CmvFWTX9zmMNCUi6fHtAx,k-pop boy group
