,track_uri,artist_uri,genres
58,7cRYXWQjXyLg6C1Hu9uc1S,2dIgFjalVxs4ThymZ67YCE,pop
59,4nWJ7msY5lWNK74UKbAVw5,3Nrfpe0tUJi4K4DXYWgMUX,k-pop
59,4nWJ7msY5lWNK74UKbAVw5,3Nrfpe0tUJi4K4DXYWgMUX,k-pop boy group
59,4nWJ7msY5lWNK74UKbAVw5,3Nrfpe0tUJi4K4DXYWgMUX,pop
60,0GreariMutSQLZe5clYjEP,1RosPf8wnTxnEuIvhf4p7C,
61,6Upu6yjkdi0DVI8E3IBZEU,7nqOGRxlXj7N2JYbgNEjYH,k-pop
61,6Upu6yjkdi0DVI8E3IBZEU,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
62,2pn8dNVSpYnAtlKFC8Q0DJ,3eVa5w3URK5duf6eyVDbu9,k-pop
63,1AZjCZSGEjlxUufFQwSszF,2auC28zjQyVTsiZKNgPRGs,k-rap
64,2Z4xd8uK1ATKYicHJxvb4p,5na1LmEmK2VzNLje9snJYW,k-pop
64,2Z4xd8uK1ATKYicHJxvb4p,5na1LmEmK2VzNLje9snJYW,k-pop boy group
65,6zVDBEprS3mo8p0WV9MtLr,4D9foUQxTrsS0w2BeyCD16,k-pop
65,6zVDBEprS3mo8p0WV9MtLr,4D9foUQxTrsS0w2BeyCD16,k-pop boy group
66,6HguG9HRb1Ke1bhihfE4m8,3mIj9lX2MWuHmhNCA7LSCW,modern alternative rock
66,6HguG9HRb1Ke1bhihfE4m8,3mIj9lX2MWuHmhNCA7LSCW,modern rock
66,6HguG9HRb1Ke1bhihfE4m8,3mIj9lX2MWuHmhNCA7LSCW,pop
66,6HguG9HRb1Ke1bhihfE4m8,3mIj9lX2MWuHmhNCA7LSCW,pov: indie
66,6HguG9HRb1Ke1bhihfE4m8,3mIj9lX2MWuHmhNCA7LSCW,rock
67,2hqn75Y9fEzL0qPoPRXCvX,7nqOGRxlXj7N2JYbgNEjYH,k-pop
67,2hqn75Y9fEzL0qPoPRXCvX,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
68,6gHeWGamtOYHBd1LBZ7Fv6,2dIgFjalVxs4ThymZ67YCE,k-pop
68,6gHeWGamtOYHBd1LBZ7Fv6,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
68,6gHeWGamtOYHBd1LBZ7Fv6,2dIgFjalVxs4ThymZ67YCE,pop
69,7hrEbEm2Gyeoc8ecOA88Xh,4gcU7SCknj9zNp6MrqOsl5,
70,2jw5XhboxwXw0lcnTEbkOT,4D9foUQxTrsS0w2BeyCD16,k-pop
70,2jw5XhboxwXw0lcnTEbkOT,4D9foUQxTrsS0w2BeyCD16,k-pop boy group
71,7rIXkPCaibFJTs4rKS29OS,7nqOGRxlXj7N2JYbgNEjYH,k-pop
71,7rIXkPCaibFJTs4rKS29OS,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
72,7jcpg7osgYWffx9LmLEoZ4,2dIgFjalVxs4ThymZ67YCE,k-pop
72,7jcpg7osgYWffx9LmLEoZ4,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
72,7jcpg7osgYWffx9LmLEoZ4,2dIgFjalVxs4ThymZ67YCE,pop
73,4KTK0uE4uJlS2Y8Gtq81I9,2dIgFjalVxs4ThymZ67YCE,k-pop
73,4KTK0uE4uJlS2Y8Gtq81I9,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
73,4KTK0uE4uJlS2Y8Gtq81I9,2dIgFjalVxs4ThymZ67YCE,pop
74,65lIGCfW59BxcEJnnIOCq3,2gsggkzM5R49q6jpPvazou,dance pop
74,65lIGCfW59BxcEJnnIOCq3,2gsggkzM5R49q6jpPvazou,pop
75,5blZcMwtCrPa7bp7lMBiTt,12AUp9oqeJDhNfO6IhQiNi,korean pop
76,3afkJSKX0EAMsJXTZnDXXJ,3WGpXCj9YhhfX11TToZcXP,australian pop
76,3afkJSKX0EAMsJXTZnDXXJ,3WGpXCj9YhhfX11TToZcXP,pop
76,3afkJSKX0EAMsJXTZnDXXJ,3WGpXCj9YhhfX11TToZcXP,viral pop
77,47abEckRMxULlGr3075cqL,6zPbaYJp7itQ8p0gPLqf2S,korean pop
78,2zlgwqw8BLX2JGB76LIFeF,2hcsKca6hCfFMwwdbFvenJ,k-pop
78,2zlgwqw8BLX2JGB76LIFeF,2hcsKca6hCfFMwwdbFvenJ,k-pop boy group
79,4Et7m1pazErkSegnrBNXkF,6uFYqDeLIwfURuF1yxVqJU,alt z
80,2gPM5iXzORTiUUyCD3eqxQ,7LOmc7gyMVMOWF8qwEdn2X,k-pop
80,2gPM5iXzORTiUUyCD3eqxQ,7LOmc7gyMVMOWF8qwEdn2X,k-pop boy group
81,3gOXq3FPPesm7VLPKmef6j,4YRxDV8wJFPHPTeXepOstw,filmi
81,3gOXq3FPPesm7VLPKmef6j,4YRxDV8wJFPHPTeXepOstw,modern bollywood
82,7cK7hDrE7vAesPf8xd5zmb,50JJSqHUf2RQ9xsHs0KMHg,indie pop rap
83,35HpFGWVSqW4D0Wi8A7zLI,0ghlgldX5Dd6720Q3qFyQB,k-pop
83,35HpFGWVSqW4D0Wi8A7zLI,0ghlgldX5Dd6720Q3qFyQB,k-pop boy group
84,2sXaFMTkBHYrEgfGJ2y27a,2auC28zjQyVTsiZKNgPRGs,k-rap
85,2ang3NGaB9ATpWHU482ZJC,3tpxZOPwm3IFQo00wq6hNd,
86,37LhFxchiyAJVop5JgRZgY,0FRUZvZNPzM3YJMABJxf2K,k-pop
86,37LhFxchiyAJVop5JgRZgY,0FRUZvZNPzM3YJMABJxf2K,korean pop
87,0DEUsirG6wfrMLkOAvO1Lm,7nqOGRxlXj7N2JYbgNEjYH,k-pop
87,0DEUsirG6wfrMLkOAvO1Lm,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
88,7DKYA93lgKbhxzqE2ojtCS,2auC28zjQyVTsiZKNgPRGs,k-rap
89,52INmBPUsLUQ6to3WnGWUm,4IKVDbCSBTxBeAsMKjAuTs,filmi
89,52INmBPUsLUQ6to3WnGWUm,4IKVDbCSBTxBeAsMKjAuTs,modern bollywood
90,2hqTuEavAEMPUe4yXcWPkx,43GYq8c6nVEgaEyg0qtzJd,k-pop
90,2hqTuEavAEMPUe4yXcWPkx,43GYq8c6nVEgaEyg0qtzJd,k-pop boy group
91,0XABJLloqjHsF4mY4tGIOH,2dIgFjalVxs4ThymZ67YCE,k-pop
91,0XABJLloqjHsF4mY4tGIOH,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
91,0XABJLloqjHsF4mY4tGIOH,2dIgFjalVxs4ThymZ67YCE,pop
92,15c7KZTrsCUxCQcOdUVELc,4k5fFEYgkWYrYvtOK3zVBl,k-pop
93,10IfXtjKQmOiON7tNAHv0y,5vV3bFXnN6D6N3Nj4xRvaV,k-pop
94,4qNK9zbRfo03SGjasmLyaG,4mbvd7ZJ2goftjy1L33LiB,korean pop
95,3JUy6uHdxEGf5cqk7IxDrE,4D9foUQxTrsS0w2BeyCD16,k-pop
95,3JUy6uHdxEGf5cqk7IxDrE,4D9foUQxTrsS0w2BeyCD16,k-pop boy group
96,0kq2SMYMcYk6dl2Z6k03yN,2FLqlgckDKdmpBrvLAT5BM,k-pop
97,3acGHJqr9xU1cnCEfLX1Lx,7nqOGRxlXj7N2JYbgNEjYH,k-pop
97,3acGHJqr9xU1cnCEfLX1Lx,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
98,4Sw6Rk0c1ZLpE2yHSZ4BJN,5na1LmEmK2VzNLje9snJYW,k-pop
98,4Sw6Rk0c1ZLpE2yHSZ4BJN,5na1LmEmK2VzNLje9snJYW,k-pop boy group
99,2gzhQaCTeNgxpeB2TPllyY,1oSPZhvZMIrWW5I41kPkkY,k-pop
100,1vkUmedJVhScV9MmRsLGSY,7z2avKuuiMAT4XZJFv8Rvh,indie anthem-folk
100,1vkUmedJVhScV9MmRsLGSY,7z2avKuuiMAT4XZJFv8Rvh,uk pop
101,1LSHzXAZXQH9R1zSEFF8Hz,2dIgFjalVxs4ThymZ67YCE,k-pop
101,1LSHzXAZXQH9R1zSEFF8Hz,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
101,1LSHzXAZXQH9R1zSEFF8Hz,2dIgFjalVxs4ThymZ67YCE,pop
102,63irPUP3xB74fHdw1Aw9zR,2dIgFjalVxs4ThymZ67YCE,k-pop
102,63irPUP3xB74fHdw1Aw9zR,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
102,63irPUP3xB74fHdw1Aw9zR,2dIgFjalVxs4ThymZ67YCE,pop
